Year,Month,Day,Value,data Completeness
2023,5,13,6.5,C
2023,5,14,28.5,C
2023,5,15,0.0,C
2023,5,16,1.5,C
2023,5,17,15.0,C
2023,5,18,0.0,C
2023,5,19,0.0,C
2023,5,20,0.0,C
2023,5,21,0.0,C
2023,5,22,0.0,C
2023,5,23,2.5,C
2023,5,24,1.5,C
2023,5,25,0.0,C
2023,5,26,0.0,C
2023,5,27,0.0,C
2023,5,28,0.0,C
2023,5,29,0.0,C
2023,5,30,0.0,C
2023,5,31,0.0,C
2023,6,1,14.5,C
2023,6,2,0.0,C
2023,6,3,0.0,C
2023,6,4,0.0,C
2023,6,5,0.0,C
2023,6,6,18.0,C
2023,6,7,6.5,C
2023,6,8,2.5,C
2023,6,9,2.5,C
2023,6,10,17.0,C
2023,6,11,4.5,C
2023,6,12,0.0,C
2023,6,13,15.5,C
2023,6,14,13.0,#
2023,6,15,0.5,#
2023,6,16,21.0,C
2023,6,17,83.0,C
2023,6,18,10.5,C
2023,6,19,2.0,C
2023,6,20,0.0,C
2023,6,21,0.0,C
2023,6,22,0.0,C
2023,6,23,0.0,C
2023,6,24,0.0,C
2023,6,25,0.0,C
2023,6,26,0.0,C
2023,6,27,0.0,C
2023,6,28,0.0,C
2023,6,29,0.0,C
2023,6,30,0.0,C
2023,7,1,0.0,C
2023,7,2,0.0,C
2023,7,3,0.0,C
2023,7,4,0.0,C
2023,7,5,0.0,C
2023,7,6,0.0,C
2023,7,7,0.0,C
2023,7,8,0.0,C
2023,7,9,0.0,C
2023,7,10,0.0,C
2023,7,11,0.0,#
2023,7,12,0.0,C
2023,7,13,0.0,C
2023,7,14,0.0,C
2023,7,15,6.0,C
2023,7,16,3.0,C
2023,7,17,15.0,C
2023,7,18,15.0,C
2023,7,19,1.0,C
2023,7,20,7.5,C
2023,7,21,0.0,C
2023,7,22,0.0,C
2023,7,23,0.0,C
2023,7,24,3.0,C
2023,7,25,0.0,C
2023,7,26,0.0,C
2023,7,27,5.5,C
2023,7,28,0.0,C
2023,7,29,25.0,C
2023,7,30,0.0,C
2023,7,31,8.5,C
2023,8,1,0.0,C
2023,8,2,0.0,C
2023,8,3,0.0,C
2023,8,4,1.5,C
2023,8,5,5.0,C
2023,8,6,0.5,C
2023,8,7,14.0,C
2023,8,8,0.0,C
2023,8,9,0.0,C
2023,8,10,10.5,C
2023,8,11,16.0,C
2023,8,12,2.5,C
2023,8,13,16.5,C
2023,8,14,15.5,C
2023,8,15,0.5,C
2023,8,16,0.0,C
2023,8,17,0.0,C
2023,8,18,39.5,C
2023,8,19,0.0,C
2023,8,20,16.0,C
2023,8,21,0.5,C
2023,8,22,0.5,C
2023,8,23,0.0,C
2023,8,24,25.0,C
2023,8,25,2.0,C
2023,8,26,0.0,C
2023,8,27,3.5,C
2023,8,28,3.0,C
2023,8,29,2.0,C
2023,8,30,0.0,C
2023,8,31,0.0,C
2023,9,1,82.0,C
2023,9,2,17.0,C
2023,9,3,0.0,C
2023,9,4,0.5,C
2023,9,5,0.5,C
2023,9,6,1.0,C
2023,9,7,41.0,C
2023,9,8,101.0,C
2023,9,9,6.0,C
2023,9,10,39.0,C
2023,9,11,42.0,C
2023,9,12,20.5,C
2023,9,13,0.0,C
2023,9,14,19.5,C
2023,9,15,35.5,C
2023,9,16,4.0,C
2023,9,17,0.0,C
2023,9,18,0.5,C
2023,9,19,0.0,C
2023,9,20,0.0,C
2023,9,21,0.0,C
2023,9,22,0.0,C
2023,9,23,0.0,C
2023,9,24,0.0,C
2023,9,25,0.0,C
2023,9,26,0.0,C
2023,9,27,0.0,C
2023,9,28,0.0,C
2023,9,29,0.5,C
2023,9,30,0.0,C
2023,10,1,0.0,C
2023,10,2,1.5,C
2023,10,3,0.0,C
2023,10,4,0.0,C
2023,10,5,0.0,C
2023,10,6,0.0,C
2023,10,7,0.0,#
2023,10,8,65.5,C
2023,10,9,201.0,C
2023,10,10,0.5,C
2023,10,11,0.0,C
2023,10,12,0.0,C
2023,10,13,0.0,C
2023,10,14,0.0,C
2023,10,15,0.0,C
2023,10,16,0.0,C
2023,10,17,0.0,C
2023,10,18,18.0,C
2023,10,19,12.5,C
2023,10,20,0.0,C
2023,10,21,0.0,C
2023,10,22,0.5,C
2023,10,23,0.0,C
2023,10,24,0.0,C
2023,10,25,0.0,C
2023,10,26,0.0,C
2023,10,27,0.0,C
2023,10,28,1.0,C
2023,10,29,0.5,C
2023,10,30,0.0,C
2023,10,31,0.0,C
2023,11,1,0.0,C
2023,11,2,0.0,C
2023,11,3,0.0,C
2023,11,4,0.0,C
2023,11,5,0.0,C
2023,11,6,0.0,C
2023,11,7,0.0,C
2023,11,8,0.0,C
2023,11,9,0.0,C
2023,11,10,0.0,C
2023,11,11,0.0,C
2023,11,12,1.0,C
2023,11,13,0.0,C
2023,11,14,0.0,C
2023,11,15,0.0,C
2023,11,16,0.0,C
2023,11,17,0.0,C
2023,11,18,0.0,C
2023,11,19,0.0,C
2023,11,20,0.0,C
2023,11,21,0.0,C
2023,11,22,0.0,C
2023,11,23,0.0,C
2023,11,24,0.0,C
2023,11,25,0.0,C
2023,11,26,0.0,C
2023,11,27,0.5,C
2023,11,28,0.0,C
2023,11,29,0.0,C
2023,11,30,0.0,C
2023,12,1,0.0,C
2023,12,2,0.0,C
2023,12,3,0.0,C
2023,12,4,0.0,C
2023,12,5,0.0,C
2023,12,6,0.0,C
2023,12,7,0.0,C
2023,12,8,0.0,C
2023,12,9,0.0,C
2023,12,10,0.0,C
2023,12,11,0.5,C
2023,12,12,0.0,C
2023,12,13,0.5,C
2023,12,14,0.0,C
2023,12,15,0.5,C
2023,12,16,0.0,C
2023,12,17,0.0,C
2023,12,18,0.0,C
2023,12,19,0.0,C
2023,12,20,0.0,C
2023,12,21,0.0,C
2023,12,22,0.0,C
2023,12,23,1.0,C
2023,12,24,0.0,C
2023,12,25,0.0,C
2023,12,26,0.0,C
2023,12,27,0.0,C
2023,12,28,0.0,C
2023,12,29,0.0,C
2023,12,30,0.0,C
2023,12,31,0.0,C
2024,1,1,0.0,C
2024,1,2,0.0,C
2024,1,3,0.0,C
2024,1,4,0.0,C
2024,1,5,0.0,C
2024,1,6,0.0,C
2024,1,7,0.0,C
2024,1,8,0.0,C
2024,1,9,0.0,C
2024,1,10,0.0,C
2024,1,11,0.0,C
2024,1,12,0.0,C
2024,1,13,0.0,C
2024,1,14,0.0,C
2024,1,15,0.0,C
2024,1,16,0.0,C
2024,1,17,0.0,C
2024,1,18,0.0,C
2024,1,19,0.0,C
2024,1,20,0.0,C
2024,1,21,0.0,C
2024,1,22,0.0,C
2024,1,23,3.5,C
2024,1,24,0.0,C
2024,1,25,0.0,C
2024,1,26,0.0,C
2024,1,27,0.5,C
2024,1,28,0.5,C
2024,1,29,0.0,C
2024,1,30,1.0,C
2024,1,31,0.0,C
2024,2,1,0.5,C
2024,2,2,0.0,C
2024,2,3,0.0,C
2024,2,4,1.0,C
2024,2,5,0.0,C
2024,2,6,1.0,C
2024,2,7,1.0,C
2024,2,8,1.5,C
2024,2,9,0.5,C
2024,2,10,0.5,C
2024,2,11,0.0,C
2024,2,12,0.0,C
2024,2,13,0.0,C
2024,2,14,0.0,C
2024,2,15,0.0,C
2024,2,16,0.0,C
2024,2,17,0.0,#
2024,2,18,***,
2024,2,19,0.0,C
2024,2,20,0.0,C
2024,2,21,0.0,C
2024,2,22,0.0,C
2024,2,23,0.0,C
2024,2,24,0.0,C
2024,2,25,0.0,C
2024,2,26,0.5,C
2024,2,27,0.0,C
2024,2,28,0.0,C
2024,2,29,0.5,C
